"Population_Size","Generations","Crossover_Rate","Mutation_Rate","Accuracy_Score","Revenue_Score","Efficiency_Score","Combined_Score","Timestamp"
"10","5","0.6","0.1","0","0","0","0","12/25/2025 9:51:11 AM"
"30","15","0.9","0.1","0","0","0","0","12/25/2025 9:57:08 AM"
"30","15","0.8","0.3","0","0","0","0","12/25/2025 9:57:04 AM"
"30","15","0.8","0.2","0","0","0","0","12/25/2025 9:56:59 AM"
"30","15","0.8","0.1","0","0","0","0","12/25/2025 9:56:55 AM"
"30","15","0.6","0.3","0","0","0","0","12/25/2025 9:56:50 AM"
"30","15","0.6","0.2","0","0","0","0","12/25/2025 9:56:45 AM"
"30","15","0.6","0.1","0","0","0","0","12/25/2025 9:56:41 AM"
"30","10","0.9","0.3","0","0","0","0","12/25/2025 9:56:36 AM"
"30","10","0.9","0.2","0","0","0","0","12/25/2025 9:56:32 AM"
"30","10","0.9","0.1","0","0","0","0","12/25/2025 9:56:27 AM"
"30","10","0.8","0.3","0","0","0","0","12/25/2025 9:56:22 AM"
"30","10","0.8","0.2","0","0","0","0","12/25/2025 9:56:18 AM"
"30","10","0.8","0.1","0","0","0","0","12/25/2025 9:56:13 AM"
"30","10","0.6","0.3","0","0","0","0","12/25/2025 9:56:09 AM"
"30","10","0.6","0.2","0","0","0","0","12/25/2025 9:56:04 AM"
"30","10","0.6","0.1","0","0","0","0","12/25/2025 9:56:00 AM"
"30","5","0.9","0.3","0","0","0","0","12/25/2025 9:55:55 AM"
"30","5","0.9","0.2","0","0","0","0","12/25/2025 9:55:51 AM"
"30","5","0.9","0.1","0","0","0","0","12/25/2025 9:55:46 AM"
"30","5","0.8","0.3","0","0","0","0","12/25/2025 9:55:42 AM"
"30","5","0.8","0.2","0","0","0","0","12/25/2025 9:55:37 AM"
"30","5","0.8","0.1","0","0","0","0","12/25/2025 9:55:33 AM"
"30","5","0.6","0.3","0","0","0","0","12/25/2025 9:55:28 AM"
"30","15","0.9","0.2","0","0","0","0","12/25/2025 9:57:13 AM"
"30","5","0.6","0.2","0","0","0","0","12/25/2025 9:55:24 AM"
"30","15","0.9","0.3","0","0","0","0","12/25/2025 9:57:17 AM"
"50","5","0.6","0.2","0","0","0","0","12/25/2025 9:57:27 AM"
"50","15","0.9","0.1","0","0","0","0","12/25/2025 9:59:13 AM"
"50","15","0.8","0.3","0","0","0","0","12/25/2025 9:59:08 AM"
"50","15","0.8","0.2","0","0","0","0","12/25/2025 9:59:03 AM"
"50","15","0.8","0.1","0","0","0","0","12/25/2025 9:58:58 AM"
"50","15","0.6","0.3","0","0","0","0","12/25/2025 9:58:54 AM"
"50","15","0.6","0.2","0","0","0","0","12/25/2025 9:58:49 AM"
"50","15","0.6","0.1","0","0","0","0","12/25/2025 9:58:44 AM"
"50","10","0.9","0.3","0","0","0","0","12/25/2025 9:58:39 AM"
"50","10","0.9","0.2","0","0","0","0","12/25/2025 9:58:34 AM"
"50","10","0.9","0.1","0","0","0","0","12/25/2025 9:58:30 AM"
"50","10","0.8","0.3","0","0","0","0","12/25/2025 9:58:25 AM"
"50","10","0.8","0.2","0","0","0","0","12/25/2025 9:58:20 AM"
"50","10","0.8","0.1","0","0","0","0","12/25/2025 9:58:16 AM"
"50","10","0.6","0.3","0","0","0","0","12/25/2025 9:58:11 AM"
"50","10","0.6","0.2","0","0","0","0","12/25/2025 9:58:07 AM"
"50","10","0.6","0.1","0","0","0","0","12/25/2025 9:58:02 AM"
"50","5","0.9","0.3","0","0","0","0","12/25/2025 9:57:58 AM"
"50","5","0.9","0.2","0","0","0","0","12/25/2025 9:57:53 AM"
"50","5","0.9","0.1","0","0","0","0","12/25/2025 9:57:49 AM"
"50","5","0.8","0.3","0","0","0","0","12/25/2025 9:57:44 AM"
"50","5","0.8","0.2","0","0","0","0","12/25/2025 9:57:40 AM"
"50","5","0.8","0.1","0","0","0","0","12/25/2025 9:57:36 AM"
"50","5","0.6","0.3","0","0","0","0","12/25/2025 9:57:31 AM"
"50","5","0.6","0.1","0","0","0","0","12/25/2025 9:57:22 AM"
"30","5","0.6","0.1","0","0","0","0","12/25/2025 9:55:19 AM"
"20","15","0.9","0.3","0","0","0","0","12/25/2025 9:55:15 AM"
"20","15","0.9","0.2","0","0","0","0","12/25/2025 9:55:10 AM"
"10","15","0.8","0.3","0","0","0","0","12/25/2025 9:52:56 AM"
"10","15","0.8","0.2","0","0","0","0","12/25/2025 9:52:52 AM"
"10","15","0.8","0.1","0","0","0","0","12/25/2025 9:52:47 AM"
"10","15","0.6","0.3","0","0","0","0","12/25/2025 9:52:43 AM"
"10","15","0.6","0.2","0","0","0","0","12/25/2025 9:52:38 AM"
"10","15","0.6","0.1","0","0","0","0","12/25/2025 9:52:34 AM"
"10","10","0.9","0.3","0","0","0","0","12/25/2025 9:52:30 AM"
"10","10","0.9","0.2","0","0","0","0","12/25/2025 9:52:25 AM"
"10","10","0.9","0.1","0","0","0","0","12/25/2025 9:52:20 AM"
"10","10","0.8","0.3","0","0","0","0","12/25/2025 9:52:15 AM"
"10","10","0.8","0.2","0","0","0","0","12/25/2025 9:52:10 AM"
